"Text","Language"
"Àwọn Ohun-àmúlò ti Awon Akópa Filé","Yoruba"
"Àwọn ohun-èlò CC ń ṣe ìrànwọ́ nípa wíwá ojútùú sí ìṣòro yìí. Àwọn iṣẹ́ tí ó ju ẹgbẹẹgbẹ̀rún 1.6 lọ ni ó ń lo àwọn àṣẹ Creative Commons lórí ẹ̀rọ-ayélujára ní orí àwọn ibùdó ìtàkùn ẹgbẹẹgbẹ̀rún 9.","Yoruba"
"Àwọn ojúṣe gẹ́gẹ́ bí i alábòójútó","Yoruba"
"Àwọn Ológun ní àwọn ò ní tẹ̀lé ẹ̀sùn tí àjọ Àgbáyé fi kàn án ní ilé ẹjọ́ pé ó ńṣi agbára lò lórí àwọn ara ilú lágbègbè Sudan Darfur lọ́dún 2003 sí 2008.","Yoruba"
"Àwọn olólùfẹ́ ikọ̀ agbábọ́ọ̀lù Pleateau united ti bu ẹnu àtẹ́ lu bí ikọ̀ náà ṣe pàdánu ìfẹsẹ̀wọnsẹ̀ ẹsẹ̀ kejì wọn nínú ìdíje CAF Champions League látàrí pápá ìṣeré ìpínlẹ̀ Kano tí ikọ̀ ọ̀hún ti lọ gbá ìfẹsẹ̀wọnsẹ̀ náà, èyí tí ó jìnà sí ilé wọn.","Yoruba"
"Àwọn olùdásílẹ̀ CC rí àìṣe déédéé tí ó wà láàárín ìmọ̀-ẹ̀rọ àti àwọn ohun tí àṣẹ-ẹ̀dà pa ààlà fún, wọ́n sì wá ọ̀nà miiran fún àwọn oníṣẹ́-àtinúdá láti pín iṣẹ́ wọn.","Yoruba"
"Àwọn olùwọ́de kó ara wọn jọ sí agbègbè kan ní àdúgbò Khartoum, bí wọ́n ṣe ńfura pé olórí àwọn adìtẹ̀ gba ìjọba ọ̀hún leè súnmọ́ ọ̀gbẹ́ni Bashir pẹ́kípẹ́kí.","Yoruba"
"Àwọn olùyọ̀ǹda ara ẹni ló hú àwọn ìdọ̀tí náà kúrò, wọ́n kó o dà nù, wọ́n sì tún àwọn kan tó ṣì lè wúlò ṣe, wọ́n tiẹ̀ hú ẹgbẹẹgbẹ̀rún àwọn táyà tọ́jọ́ wọ́n ti pẹ́ jáde níbẹ̀, kódà àwọn táyà kan ti wà níbẹ̀ látìgbà Ogun Àgbáyé Kejì.","Yoruba"
"Àwọn omọdébìnrin inú wọn ní oore-ọ̀fẹ́ sí aṣọ ìlédìí ìsé-nǹkan-àlejò ti ètò kan fún ìpèsè àṣọ ìsé-nǹkan-àlejò.","Yoruba"
"Àwọn onímọ̀ ìjìnlẹ̀ náà gbé ìpinnu tí wọ́n kọ́kọ́ ṣe jáde ní May 15, 2020. Wọ́n máa tó gbé ibi tí wọ́n parí ọ̀rọ̀ náà sí jáde lórí ìkànnì Àjọ Ìṣọ̀kan Àgbáyé.","Yoruba"
"pin","Not Yoruba"
"Ooni","Yoruba"
"pie","Not Yoruba"
"spy","Not Yoruba"
" And I say: If you don't know you're a slave, if you don't know you're isolated or oppressed, how do you fight to be free?","Not Yoruba"
" And she's right.","Not Yoruba"
" Because it's scary and it's expensive, but we need to have it, OK?","Not Yoruba"
" I want them to think, Well there's some hope.","Not Yoruba"
" It took only three generations.","Not Yoruba"
" Look, that's the technician we had.","Not Yoruba"
" So why did I choose to sell out while watching tragedies unfold right in front of me?","Not Yoruba"
"A fire broke out on August 5, 2017, in the Agdao section of Davao City, located on the coast of Mindanao Island in the southern Philippines.","Not Yoruba"
"A magnitude 6.7 earthquake struck Hokkaido, the northern island of Japan, on September 6, 2018.","Not Yoruba"
"a player like Messi can not be looked down.","Not Yoruba"
"A series of powerful earthquakes have rocked the southern Philippines since October 16, 2019, killing 21 people, injuring over 400, and displacing more than 35,000.","Not Yoruba"
"A United Nations (UN) panel of human rights experts has issued a 15-page opinion concluding that Russia violated international law by arresting and detaining 18 Jehovah’s Witnesses in different cities from May 2018 to July 2019. Ultimately, the panel demands the immediate and unconditional release of those Witnesses who are still detained.","Not Yoruba"
"A United Nations (UN) panel of international legal experts has concluded that Russia’s arrest and detention of Brother Dmitriy Mikhaylov was “discriminatory on the basis of religion” and thus violated international law.","Not Yoruba"
"Andrzej Oniszczuk, a Polish citizen and one of our dear brothers, has been in pretrial detention in Russia since security forces arrested him on October 9, 2018.","Not Yoruba"
"As of today, Brother Dennis Christensen has endured three years of unjust imprisonment in Russia.","Not Yoruba"
"As previously reported, on May 23, 2019, the Oryol Regional Court upheld the conviction of Dennis Christensen.","Not Yoruba"
"As was announced on February 6, 2019, the Zheleznodorozhniy District Court of Oryol sentenced Dennis Christensen to six years in prison for engaging in peaceful worship.","Not Yoruba"
"At special events held during January 2019, Brother Mark Sanderson, a member of the Governing Body, released the Bible in Cebuano, Tagalog, and Waray-Waray.","Not Yoruba"
"Authorities in Omsk, Russia, sentenced a Witness couple, Sergey and Anastasia Polyakov, to pretrial detention on July 6, 2018.","Not Yoruba"
"abacinate","Not Yoruba"
"Brother Arkadya Akopyan will have his final day in court on December 21, 2018.","Not Yoruba"
"Brother Boris Burylov, aged 78, faces “extremism” charges in the city of Perm’","Not Yoruba"
"Brother Dennis Christensen has spent over 525 days in prison for practicing his faith and has appeared in court nearly 50 times.","Not Yoruba"
"Brother Vladimir Alushkin was released from prison and reunited with his wife on March 30, 2020.","Not Yoruba"
"Dates: July 19-21, 2019","Not Yoruba"
"Dates: June 28-30, 2019","Not Yoruba"
"Dates: November 1-3, 2019","Not Yoruba"
"During the month of October 2018, local and federal police raided more than 30 homes throughout western Russia.","Not Yoruba"
"Early in the morning of April 10, 2018, investigators and special police forces, some wearing masks and carrying automatic weapons, raided and searched the homes of several Witnesses in Ufa, the capital city of Bashkortostan, Russia.","Not Yoruba"
"Extreme temperatures combined with severe drought have contributed to the deadliest fire season on record in Portugal.","Not Yoruba"
"Following an official pardon from the president of Kazakhstan, Nursultan Nazarbayev, Brother Teymur Akhmedov was released from custody on April 4, 2018. He had been imprisoned for a total of 441 days.","Not Yoruba"
"For the first time in South Korean history, government prosecutors requested an appeals court to issue not-guilty verdicts in the cases of five of our brothers who refused military service.","Not Yoruba"
"From May 11 to November 10, 2018, Jehovah’s Witnesses in Kazakhstan invited their neighbors to seven open houses, which they held in select cities throughout the country.","Not Yoruba"
"From September 21 to 23, 2019, Typhoon Tapah struck southern Japan with powerful winds and rain.","Not Yoruba"
"Heavy monsoon rains led to floods and landslides in Nepal, displacing thousands of people and killing more than 140.","Not Yoruba"
"In Davao City, Philippines, over 31,000 non-Witnesses linked in to one congregation’s Memorial commemoration.","Not Yoruba"
"In early August 2019, monsoon weather struck the Philippines with heavy rains and strong winds, causing flooding and landslides.","Not Yoruba"
"In March 2019, a fire in the Philippines burned 128 homes in Calbayog City on Samar Island.","Not Yoruba"
