Text,Language,Unnamed: 2
"lílo àkàbà ǹjẹ́ o máa ń ṣe àyẹ̀wò wọ̀nyí tó lè dáàbò bò ẹ́" ,Yoruba,
"fẹ́ pààrọ̀ gílóòbù iná tó wà lóde ilé ẹ̀" ,Yoruba,
abbreviate ,Not Yoruba,
abbreviation ,Not Yoruba,
abdomen ,Not Yoruba,
abduct ,Not Yoruba,
abduction ,Not Yoruba,
"ó tún fẹ́ nu àwọn fèrèsé pẹ̀tẹ́ẹ̀sì lọ́wọ́ ita — ó ti pẹ́ tíyàwó ẹ̀ ti ń sọ pé wọ́n ti dọ̀tí" ,Yoruba,
"àmọ́ ṣe ni paul ń fòní dónìí tó ń fọ̀la dọ́la" ,Yoruba,
"nítorí pé ó gbọ́dọ̀ lo àkàbà" ,Yoruba,
"ó nídìí tẹ́rù fi ń bà á" ,Yoruba,
"ó mọ̀ pé téèyàn bá rébọ́ látorí àkàbà ó lè fara pa yánnayànna ó tiẹ̀ lè gbabẹ̀ kú" ,Yoruba,
"ohun tó máa ń fà á ni pé àwọn èèyàn kì í fara balẹ̀ ronú lóríi bó ti yẹ láti lo àkàbà" ,Yoruba,
"kí paul tó ṣe iṣẹ́ wọ̀nyí kí ló yẹ kó mọ̀ nípa àkàbà" ,Yoruba,
"àbá mẹ́wàá tó ràn án lọ́wọ́ láti ṣe é láìfarapa ló wà nísàlẹ̀ yìí" ,Yoruba,
"ṣé àkàbà náà ò lè ṣèèyàn léṣe" ,Yoruba,
"1 lo àkàbà tó yẹ" ,Yoruba,
"o lè bẹ̀rẹ̀ sí nàgà bí àkàbà náà bá kúrú jù" ,Yoruba,
"o lè fi ti ògiri lọ́nà tó léwu tó bá gùn jù" ,Yoruba,
"má ṣe fi àtẹ̀gùn kékeré ẹlẹ́sẹ̀ mẹ́rin gun àjà" ,Yoruba,
"ṣe àkàbà tó yẹ mọ́ ògiri tó lọ sórí àjà tàbí kóo lo àkàbà tó ṣeé gbé ti ògiri" ,Yoruba,
"2 yẹ àkàbà rẹ wò dáadáa" ,Yoruba,
"ṣé kì í ṣe ìta lẹ gbé e sí tẹ́lẹ̀" ,Yoruba,
"àkàbà onígi máa ń wú tómi bá kàn án ó sì máa ń sún kì tóòrùn bá pa á jù" ,Yoruba,
"kẹ́ẹ tó mọ̀ àwọn ìdásẹ̀lé rẹ̀ lè ti dẹ̀ tí àkàbà náà kò fi ní dúró dáadáa mọ́" ,Yoruba,
"ṣé ìkankan lára ìdásẹ̀lé onígi tó wà lára rẹ̀ kó tíì sán ṣé kò sì dà bíi pé wọ́n ti ń kẹ̀" ,Yoruba,
"wọ́n sábà máa ń fi irin gbá ìdásẹ̀lé onígi lábẹ́" ,Yoruba,
"ṣé irin yẹn ṣì wà níbẹ tó sì dúró sán ún" ,Yoruba,
"ṣé àwọn ìdè tàbí èèkàn irin tí wọ́n fi de àwọn ìdásẹ̀lé onírin mọ́ ara àkàbà ò tíì yọ tàbí kí wọ́n ti kídàǹpapa" ,Yoruba,
"àwọn àkàbà ńlá tí wọ́n ń kì bọnú ara wọn lè ní táyà ródóródó àti okùn" ,Yoruba,
"ṣé àwọn táyà náà ṣì ń yí geerege" ,Yoruba,
"ṣé kì í ṣe pé okùn náà ti fẹ́ já ṣá ṣé ó ṣì gùn tó" ,Yoruba,
"tètè tún gbogbo ohun tó bá yẹ ní títún ṣe ṣe láìfi falẹ̀ rárá" ,Yoruba,
"wọ́n sábà máa ń gbẹ́hò tẹ́ẹ́rẹ́ tẹ́ẹ́rẹ́ sára ìdásẹ̀lé tí kò ní jẹ́ kẹ́sẹ̀ ó yọ̀ lórí wọn" ,Yoruba,
"rí i dájú pé o mú ìdọ̀tí èyíkéyìí tó bá dí ojú ihò wọ̀nyẹn kúrò" ,Yoruba,
"gbogbo àkàbà ló yẹ kó ní ìtẹ́lẹ̀ tó máa jẹ́ kó dúró nílẹ̀ láìyọ̀" ,Yoruba,
"wò ó bóyá ìtẹ́lẹ̀ yìí wà níbẹ̀ tí kò sì tíì jẹ púpọ̀ jù" ,Yoruba,
"3 gbé àkàbà lọ́nà tí kò ní ṣe jàǹbá" ,Yoruba,
"tó bá jẹ́ ọkọ̀ lo fẹ́ lò gbé e kọ́ ìkọ́ àkàbà tàbí kóo so ó mọ́ ọkọ̀ akẹ́rù ó kéré tán lọ́nà méjì" ,Yoruba,
"àkàbà gígùn lè yọ gọngọ lẹ́yìn ọkọ̀ nítorí náà kí ẹni tí ń bọ̀ lẹ́yìn lè rí i dáadáa so aṣọ tẹ́ẹ́rẹ́ mọ́ ibi tó ti yọ gọngọ síta káwọn èèyàn lè rí i" ,Yoruba,
"èèyàn méjì ló dáa jù lọ kó gbé àkàbà gígùn" ,Yoruba,
"àmọ́ bó bá jẹ́ ìwọ lo fẹ́ dá a gbé tóo sì fẹ́ gbé e níbùú gbé e lé èjìká rẹ kóo sì fọwọ́ kan dì í mú dáadáa kóo wá fọwọ́ kejì kún un kó lè sinmi lé ọ léjìká láìfì sápá kan" ,Yoruba,
"jẹ́ kí iwájú rẹ̀ wà lókè níbi tí orí ò ní lè dé kí o má bàa fi gbá ẹnikẹ́ni" ,Yoruba,
"ṣùgbọ́n má gbàgbé pé bí àkàbà náà ṣe gùn síwájú bẹ́ẹ̀ náà ló gùn lọ sẹ́yìn" ,Yoruba,
"àwọn aláwàdà kẹríkẹrì máa ń jẹ́ kó dà bíi pé ọ̀ràn ẹ̀rín ni fíforígbá àkàbà" ,Yoruba,
"àmọ́ ẹni tó bá ti ríbi téèyàn ti forí gbá àkàbà rí á mọ̀ pé kì í ṣọ̀ràn eré — àgàgà tó bá jẹ́ ìwọ ló ṣe léṣe" ,Yoruba,
"tóo bá gbé àkàbà lóròó jẹ́ kí òkè rẹ̀ fì sápá ọ̀dọ̀ rẹ kóo fọwọ́ kan rá a mú kóo sì fọwọ́ kejì dì í mú lókè orí rẹ kó lè dúró dáadáa" ,Yoruba,
"máa ṣọ́ àwọn wáyà gílóòbù iná àtàwọn àmì táa gbé kọ́ sókè o" ,Yoruba,
"4 gbé àkàbà tì dáadáa" ,Yoruba,
"kí ó má bàa séwu àkàbà ò gbọ́dọ̀ fì sẹ́gbẹ̀ẹ́ kan kò sì gbọ́dọ̀ dagun ju ìwọ̀n ìdagun márùndínlọ́gọ́rin lọ" ,Yoruba,
"5 gbé nǹkan tì í lókè àti nísàlẹ̀" ,Yoruba,
"wo ibi tóo gbé orí àkàbà tì dáadáa" ,Yoruba,
"rí i dájú pé ojú ibi tí àkàbà náà fara tì lókè tẹ́ pẹrẹsẹ tí kò sì ní yọ̀ ẹ́" ,Yoruba,
"o ò gbọ́dọ̀ gbé àkàbà ti gíláàsì tàbí ike" ,Yoruba,
"tó bá ṣeé ṣe dè é mọ́ nǹkan kan kí òkè àkàbà náà fi nǹkan bí mítà kan ga ju ibi tí àkàbà náà ti fara ti ògiri" ,Yoruba,
"fẹ̀sọ̀ ṣe nígbà tóo bá kọ́kọ́ ń gun àkàbà lọ láti lọ dè é lókè" ,Yoruba,
"kò ní dúró dáadáa nígbà tóo bá kọ́kọ́ gùn ún yẹn bẹ́ẹ̀ náà ló sì máa rí nígbà tóo bá ń sọ̀ kalẹ̀ bọ̀ lẹ́yìn tóo ti tú u lókè" ,Yoruba,
"kí o má bàa já bọ́ ní ìgbà àkọ́kọ́ yẹn àtìgbà tóo bá ń sọ̀ kalẹ̀ jẹ́ kí ẹnì kan bá ẹ dì í mú nísàlẹ̀ nígbà tóo bá ń gùn ún tàbí tóo bá ń sọ̀" ,Yoruba,
"àmọ́ o èyí lè ṣiṣẹ́ kìkì bí àkàbà náà ò bá gùn ju nǹkan bí mítà márùn ún lọ" ,Yoruba,
"bí ilẹ̀ iwájú ilé bá da gẹ̀rẹ́gẹ̀rẹ́ gbé ohun kan tó wúwo sísàlẹ̀ àkàbà tàbí kí o de ìdásẹ̀lé ìsàlẹ̀ mọ́ nǹkan kan" ,Yoruba,
"bí ilẹ̀ bá rí págunpàgun ṣùgbọ́n tó le fi nǹkan há a kí àkàbà náà lè rẹ́sẹ̀ dúró nílẹ̀" ,Yoruba,
"wá pákó pẹrẹsẹ tàbí irú nǹkan bẹ́ẹ̀ tó ṣeé gbé nǹkan lé bí ilẹ̀ ibẹ̀ bá rọ̀ jù tàbí bó bá jẹ́ àwọn nǹkan bíi fùlùfúlù ló wà nílẹ̀ ibẹ̀" ,Yoruba,
"bó bá ṣe pé àkàbà ẹlẹ́sẹ̀ mẹ́rin lo fẹ́ lò rí i dájú pé gbogbo ẹsẹ̀ rẹ̀ mẹ́rẹ̀ẹ̀rin ló dúró dáadaá nílẹ̀ tí ìhà méjèèjì dúró wandi tí irin àárín wọn sì nà tán" ,Yoruba,
"6 yẹ bàtà rẹ wò" ,Yoruba,
"kóo tó gun àkàbà rí i dájú pé kò sómi nísàlẹ̀ bàtà rẹ" ,Yoruba,
"gbá àwọn nǹkan bí ẹrẹ̀ tó bá lè yọ̀ ẹ́ dà nù" ,Yoruba,
"7 máa rọra gbé nǹkan" ,Yoruba,
"kí o lè ráyè fọwọ́ rẹ méjèèjì di àkàbà mú bó bá ṣeé ṣe kó irinṣẹ́ sínú àpò kan tó ṣeé so mọ́ ìgbànú" ,Yoruba,
"wá nǹkan míì fi gbé àwọn nǹkan tó ṣòroó gbé gun àkàbà àmọ́ bó bá di dandan láti lo àkàbà má ṣe yọ ọwọ́ kan tó kù kúrò lára àkàbà ṣe ni kóo máa wọ́ ọ lára àkàbà bóo ti ń gùn ún lọ" ,Yoruba,
"máa gbẹ́sẹ̀ lọ́kọ̀ọ̀kan ní ṣísẹ̀ n tẹ̀lé láìkánjú" ,Yoruba,
"bóo bá ń lo irinṣẹ́ tó ń lo iná mànàmáná má ṣe fi ọwọ́ méjèèjì mú un dání" ,Yoruba,
"fún àpẹẹrẹ ẹ̀rọ ìdá nǹkan lu lè ṣàdédé há tàbí kí ó yọ̀ bọ̀rọ́ ìyẹn sì lè gbò ẹ́ kí o sì ṣubú" ,Yoruba,
"má ṣe yí irinṣẹ́ èyíkéyìí síbi tó ti lè máa dá ṣiṣẹ́ lọ láìdúró ó lè ṣèèṣì já bọ́ bóo ṣe ń lò ó lọ́wọ́" ,Yoruba,
"8 máa gba tàwọn ẹlòmíì rò" ,Yoruba,
"bó bá jẹ́ pé ibi tí gbogbo èèyàn ń gbà kọjá lo ti ń ṣiṣẹ́ gbé àkàbà síbi tí wọ́n á ti tètè rí i bó bá sì ṣeé ṣe to nǹkan yí i ká" ,Yoruba,
"bó bá di dandan kóo gbé àkàbà gba kọ̀rọ̀ kọjá kí o mọ̀ pé àwọn èèyàn ò ní mọ̀ pé o ń bọ̀ lọ́nà" ,Yoruba,
"fẹ̀lẹ̀ ké àgò o kí o sì rí i pé ọ̀nà là" ,Yoruba,
"tóo bá gbé irinṣẹ́ dání lórí àkàbà rántí pé irinṣẹ́ ìde nǹkan kólíẹ́ pàápàá lè ṣèèyàn léṣe tó bá já bọ́ luni látòkè" ,Yoruba,
"bóo bá fẹ́ fibẹ̀ sílẹ̀ fún ìdí kan tí o ò sì de àkàbà mọ́ nǹkan kan wá ẹni tí yóò bá ẹ dúró tì í tàbí kóo rọra gbé àkàbà náà kalẹ̀ dìgbà tóo máa padà dé" ,Yoruba,
"má kàn fi í sílẹ̀ bẹ́ẹ̀" ,Yoruba,
"9 rí i pé ara rẹ le" ,Yoruba,
"níwọ̀n bí gígun nǹkan ti jẹ́ ọ̀ràn kí ara èèyàn balẹ̀ kí ó sì máa gbésẹ̀ ní ṣísẹ̀ n tẹ̀lé má ṣe gun nǹkan kan bí ara rẹ ò bá yá tàbí bí èébì bá ń gbé ẹ tàbí bí òòyì bá ń kọ́ ẹ" ,Yoruba,
"10 má fọ̀ràn ààbò ṣeré o" ,Yoruba,
"gbogbo ìgbà ni kí ọ̀ràn ààbò máa jẹ ẹ́ lógún" ,Yoruba,
"èèyàn méjì tàbí jù bẹ́ẹ̀ lọ ò gbọ́dọ̀ wà lórí àkàbà lẹ́ẹ̀kan náà" ,Yoruba,
"o ò gbọ́dọ̀ gùn ún nígbà tí ìjì líle ń jà" ,Yoruba,
"tó bá ṣe pé àkàbà ẹlẹ́sẹ̀ mẹ́rin lo ń lò o ò gbọ́dọ̀ dúró lé ìdásẹ̀lé òkè pátápátá tó bá sì jẹ́ pé àkàbà gígùn lò ń lò o ò gbọ́dọ̀ dúró lé ìdásẹ̀lé mẹ́rin tó kẹ́yìn sókè" ,Yoruba,
"tó bá jẹ́ pé àkàbà tí wọ́n ń kì bọnú ara wọn lò ń lò o ò gbọ́dọ̀ nà án tán ó kéré tán ó gbọ́dọ̀ ṣẹ́ ku ìdásẹ̀lé mẹ́ta nínú ara wọn" ,Yoruba,
"o ò gbọ́dọ̀ nàgà jù" ,Yoruba,
"bóo bá tẹ̀ sẹ́gbẹ̀ẹ́ kan jù lórí àkàbà ẹsẹ̀ rẹ lè yẹ̀ wàá sì bára ẹ nílẹ̀" ,Yoruba,
"dípò wíwu ara rẹ léwu gbé àkàbà sún mọ́ ibẹ̀ kódà bó bá jẹ́ pé iṣẹ́ náà á wá gba àkókò púpọ̀ sí i" ,Yoruba,
"nígbà tóo bá ń gun àkàbà ọ̀ọ́kán tààrà ni kóo máa wò" ,Yoruba,
"pẹ̀lú gbogbo bóo ṣe kíyè sára tó ewu ò ní ṣàìsí nígbàkigbà tóo bá ń lo àkàbà" ,Yoruba,
"àmọ́ wàá dín irú ewu bẹ́ẹ̀ kù tóo bá lo àbá wọ̀nyí" ,Yoruba,
"àwọn ló ran paul lọ́wọ́" ,Yoruba,
"nítorí pé ó lo àbá wọ̀nyí kò fara pa nígbà tó ń pààrọ̀ gílóòbù iná tó wà lóde ilé ẹ̀" ,Yoruba,
"àwọn fèrèsé tó fẹ́ nù ńkọ́" ,Yoruba,
"tóò ìyẹn di ọjọ́ míì ọjọ́ọre" ,Yoruba,
"àwọn àwòrán tó wà ní ojú ìwé" ,Yoruba,
"lo àkàbà tó yẹ" ,Yoruba,
"yẹ àkàbà rẹ wò dáadáa" ,Yoruba,
"gbé àkàbà lọ́nà tí kò ní ṣe jàǹbá" ,Yoruba,
"gbé àkàbà tì dáadáa" ,Yoruba,
"gbé nǹkan tì í lókè àti nísàlẹ̀" ,Yoruba,
"yẹ bàtà rẹ wò" ,Yoruba,
abide ,Not Yoruba,
ability ,Not Yoruba,
ablaze ,Not Yoruba,
able ,Not Yoruba,
abnormal ,Not Yoruba,
abolish ,Not Yoruba,
abortion ,Not Yoruba,
abroad ,Not Yoruba,
abrupt ,Not Yoruba,
absence ,Not Yoruba,
absent ,Not Yoruba,
absolutely ,Not Yoruba,
absorb ,Not Yoruba,
abstain ,Not Yoruba,
abstract ,Not Yoruba,
absurd ,Not Yoruba,
abundance ,Not Yoruba,
